City,country,airportCode
Aalborg,Denmark,AAL
Aalesund,Norway,AES
Aarhus,Denmark,AAR
"Abbotsford, BC",Canada,YXX
"Abbotsford, BC",Canada,YXX
Aberdeen,Scotland,ABZ
"Aberdeen, SD",USA,ABR
Abidjan,Ivory Coast,ABJ
"Abilene, TX",USA,ABI
Abu Dhabi,United Arab Emirates,AUH
Abuja,Nigeria,ABV
Acapulco,Mexico,ACA
Accra,Ghana,ACC
Adana,Turkey,ADA
Addis Ababa,Ethiopia,ADD
"Adelaide, S.A.",Australia,ADL
Aden,Yemen,ADE
Adiyaman,Turkey,ADF
Agadir,Morocco,AGA
Agana,Guam,GUM
Aguadilla,Puerto Rico,BQN
Aguascalientes,Mexico,AGU
Ahe,French Polynesia,AHE
Ahmedabad,India,AMD
"Ajaccio, Corsica",France,AJA
Akita,Japan,AXT
"Akron, OH",USA,CAK
"Alamosa, CO",USA,ALS
"Albany, GA",USA,ABY
"Albany, NY",USA,ALB
Albenga,Italy,ALL
"Albuquerque, NM",USA,ABQ
"Albury, N.S.W.",Australia,ABX
Alexandria,Egypt,ALY
Alexandria,Egypt,HBE
"Alexandria, LA",USA,AEX
Alexandroupolis,Greece,AXD
"Alghero, Sardinia",Italy,AHO
Algiers,Algeria,ALG
Alicante,Spain,ALC
"Alice Springs, N.T.",Australia,ASP
"Alice Town, North Bimini Island",Bahamas,NSB
"Allentown, PA",USA,ABE
"Alliance, NE",USA,AIA
Almaty,Kazakhstan,ALA
Almeria,Spain,LEI
Alor Setar,Malaysia,AOR
"Alpena, MI",USA,APN
Alta,Norway,ALF
Altenrhein,Switzerland,ACH
"Altoona, PA",USA,AOO
"Amarillo, TX",USA,AMA
Amman,Jordan,AMM
Amsterdam,Netherlands,AMS
"Anahim Lake, BC",Canada,YAA
"Anahim Lake, BC",Canada,YAA
"Anchorage, AK",USA,ANC
Ancona,Italy,AOI
Andros Town,Bahamas,ASD
Angeles City,Philippines,CRK
"Angra do Heroismo, Terceira Island",Azores,TER
Ankara,Turkey,ESB
Annaba,Algeria,AAE
Annecy,France,NCY
Antalya,Turkey,AYT
Antananarivo,Madagascar,TNR
Antofagasta,Chile,ANF
Antwerp,Belgium,ANR
Aomori,Japan,AOJ
Aosta,Italy,AOT
"Appleton, WI",USA,ATW
Ardabil,Iran,ADU
Arequipa,Peru,AQP
"Argostoli, Kefalonia Island",Greece,EFL
Arica,Chile,ARI
Arkhangelsk,Russia,ARH
"Armidale, N.S.W.",Australia,ARM
"Arrecife, Lanzarote Island",Canary Islands,ACE
Arusha,Tanzania,ARK
"Arviat, NWT",Canada,YEK
"Arviat, NWT",Canada,YEK
Arvidsjaur,Sweden,AJR
"Asheville, NC",USA,AVL
Asmara,Eritrea,ASM
"Aspen, CO",USA,ASE
Astana,Kazakhstan,TSE
Asuncion,Paraguay,ASU
Aswan,Egypt,ASW
Athens,Greece,ATH
"Athens, GA",USA,AHN
"Atlanta, GA",USA,ATL
"Atlantic City, NJ",USA,ACY
Auckland,New Zealand,AKL
"Augusta, GA",USA,AGS
"Augusta, ME",USA,AUG
"Austin, TX",USA,AUS
"Avarua, Rarotonga Island",Cook Islands,RAR
"Ayers Rock, N.T.",Australia,AYQ
Bacolod,Philippines,BCD
Badajoz,Spain,BJZ
Baghdad,Iraq,SDA
"Bagotville, PQ",Canada,YBG
"Bagotville, PQ",Canada,YBG
"Baie-Comeau, PQ",Canada,YBC
"Baie-Comeau, PQ",Canada,YBC
"Bakersfield, CA",USA,BFL
Baku,Azerbaijan,BAK
Baku,Azerbaijan,GYD
Balaton,Hungary,SOB
Balephuil,Scotland,TRE
"Balikpapan, Kalimantan",Indonesia,BPN
"Ballina, N.S.W.",Australia,BNK
Balmaceda,Chile,BBA
"Baltimore, MD",USA,BWI
Ban Me Thuot,Vietnam,BMV
Bandar Seri Begawan,Brunei,BWN
Bangalore,India,BLR
Bangda,China,BPX
Bangkok,Thailand,BKK
"Bangor, ME",USA,BGR
Bangui,Central African Republic,BGF
Banjul,Gambia,BJL
"Bar Harbor, ME",USA,BHB
Barcelona,Spain,BCN
Bardufoss,Norway,BDU
Bari,Italy,BRI
Barisal,Bangladesh,BZL
Barranquilla,Colombia,BAQ
"Barrow, AK",USA,BRW
Basel,Switzerland,BSL
Basseterre,St. Kitts,SKB
"Bastia, Corsica",France,BIA
"Bathurst, N.S.W.",Australia,BHS
"Baton Rouge, LA",USA,BTR
Bauru,Brazil,BAU
"Beaumont, TX",USA,BPT
Beauvais,France,BVA
"Beckley, WV",USA,BKW
"Bedford, MA",USA,BED
"Beef Island, Tortola",British Virgin Islands,EIS
Beijing,China,BJS
Beirut,Lebanon,BEY
Belem,Brazil,BEL
Belfast,Northern Ireland,BFS
Belfast,Northern Ireland,BHD
Belgrade,Serbia and Montenegro,BEG
Belize City,Belize,BZE
"Bellingham, WA",USA,BLI
Belo Horizonte,Brazil,CNF
"Bemidji, MN",USA,BJI
Benbecula,Scotland,BEB
Benguela,Angola,BUG
Bergen,Norway,BGO
Berlin,Germany,BER - All Airports
Berlin,Germany,SXF
Berlin,Germany,THF
Berlin,Germany,TXL
Berne,Switzerland,BRN
"Bethel, AK",USA,BET
"Bettles, AK",USA,BTT
"Biak, Papua",Indonesia,BIK
Biarritz,France,BIQ
Bilbao,Spain,BIO
"Billings, MT",USA,BIL
Billund,Denmark,BLL
"Binghamton, NY",USA,BGM
"Bintulu, Sarawak",Malaysia,BTU
Birmingham,England,BHX
"Birmingham, AL",USA,BHM
Bishkek,Kyrgyzstan,FRU
"Bismarck, ND",USA,BIS
Bissau,Guinea-Bissau,OXB
Blantyre,Malawi,BLZ
Blenheim,New Zealand,BHE
Bloemfontein,South Africa,BFN
"Bloomington, IL",USA,BMI
"Bloomington, IN",USA,BMG
"Bluefield, WV",USA,BLF
Bodo,Norway,BOO
Bogota,Colombia,BOG
"Boise, ID",USA,BOI
Bologna,Italy,BLQ
Bolzano,Italy,BZO
Bordeaux,France,BOD
Borlange,Sweden,BLE
"Boston, MA",USA,BOS
"Bozeman, MT",USA,BZN
Brasilia,Brazil,BSB
Bratislava,Slovakia,BTS
Brazzaville,Congo,BZV
Bremen,Germany,BRE
Brest,France,BES
Bridgetown,Barbados,BGI
Brindisi,Italy,BDS
"Brisbane, Qld.",Australia,BNE
Bristol,England,BRS
"Broken Hill, N.S.W.",Australia,BHQ
"Brookings, SD",USA,BKX
"Broome, W.A.",Australia,BME
"Brownsville, TX",USA,BRO
